question_id,question,ground_truth_query,generated_query,success,total_iterations,first_attempt_valid,bleu,rouge_l_f1,jaro_winkler,jaccard_cypher,pass_at_1,jaccard_output,llmetric_q,reasoning_level,sublevel,complexity,errors_encountered
1,Berapakah jumlah SKS untuk mata kuliah 'Aljabar Linear'?,MATCH (n:MK {nama: 'Aljabar Linear'}) RETURN n.sks,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Easy,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499883, Requested 2878. Please try again in 7m57.1008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2,Apakah nama lengkap dari mata kuliah dengan kode 'TKU211131'?,MATCH (n:MK {kode: 'TKU211131'}) RETURN n.nama,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Easy,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499882, Requested 2883. Please try again in 7m57.792s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
3,Bagaimanakah deskripsi untuk Capaian Lulusan (SO) dengan kode 'KP.1'?,MATCH (n:SO {kode: 'KP.1'}) RETURN n.deskripsi,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Easy,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499881, Requested 2885. Please try again in 7m57.964799999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
4,Tampilkan seluruh mata kuliah yang ditawarkan pada semester 1.,MATCH (n:MK) WHERE n.semester = 1 RETURN n.nama,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Easy,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499880, Requested 2879. Please try again in 7m56.7552s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
5,Tampilkan nama dan kode untuk semua mata kuliah yang memiliki tipe 'Pilihan'.,"MATCH (n:MK) WHERE n.tipe = 'Pilihan' RETURN n.nama, n.kode",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Easy,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499879, Requested 2880. Please try again in 7m56.7552s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
6,Apa sajakah klasifikasi unik yang ada untuk semua mata kuliah?,MATCH (n:MK) RETURN DISTINCT n.klasifikasi,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499878, Requested 2880. Please try again in 7m56.5824s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
7,Berapakah jumlah total mata kuliah yang bertipe 'Wajib'?,MATCH (n:MK) WHERE n.tipe = 'Wajib' RETURN COUNT(n),,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499878, Requested 2878. Please try again in 7m56.2368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
8,"Tampilkan semua mata kuliah, diurutkan berdasarkan semester dari awal hingga akhir.","MATCH (n:MK) RETURN n.nama, n.semester ORDER BY n.semester",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499877, Requested 2885. Please try again in 7m57.2736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
9,Sebutkan 5 mata kuliah yang diurutkan berdasarkan namanya.,MATCH (n:MK) RETURN n.nama ORDER BY n.nama LIMIT 5,,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499876, Requested 2881. Please try again in 7m56.409599999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
10,Berapakah rata-rata jumlah SKS pada tiap semester.,"MATCH (n:MK) RETURN n.semester, AVG(n.sks) ORDER BY n.semester",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Eksplisit,Nodes,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499875, Requested 2877. Please try again in 7m55.5456s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
