question_id,question,ground_truth_query,generated_query,success,total_iterations,first_attempt_valid,bleu,rouge_l_f1,jaro_winkler,jaccard_cypher,pass_at_1,jaccard_output,llmetric_q,reasoning_level,sublevel,complexity,errors_encountered
1,Berapakah jumlah SKS untuk mata kuliah 'Aljabar Linear'?,MATCH (n:MK {nama: 'Aljabar Linear'}) RETURN n.sks,"MATCH (m:MK {nama: ""Aljabar Linear""}) RETURN m.sks",True,1,True,0.3641410562218426,0.7778,0.9437904468412943,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
2,Apakah nama lengkap dari mata kuliah dengan kode 'TKU211131'?,MATCH (n:MK {kode: 'TKU211131'}) RETURN n.nama,"MATCH (m:MK {kode: ""TKU211131""}) RETURN m.nama",True,1,True,0.391295029958458,0.75,0.96698752228164,0.5555555555555556,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
3,Bagaimanakah deskripsi untuk Capaian Lulusan (SO) dengan kode 'KP.1'?,MATCH (n:SO {kode: 'KP.1'}) RETURN n.deskripsi,"MATCH (s:SO {kode: ""KP.1""}) RETURN s.deskripsi",True,1,True,0.34740317390504205,0.7778,0.9530619000331016,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
4,Tampilkan seluruh mata kuliah yang ditawarkan pada semester 1.,MATCH (n:MK) WHERE n.semester = 1 RETURN n.nama,"<think> Okay, let's tackle this problem. The user wants to display all courses offered in semester 1. The error message mentioned a syntax error, probably due to a missing or incorrect part in the query. First, I need to check the schema. The MK node has a 'semester' property. So the correct approach is to match all MK nodes where semester is 1. Looking at the previous query, maybe there was a typo or missing parts. The correct Cypher query should start with MATCH, then specify the node with the correct label and properties. The user might have missed a closing parenthesis or used incorrect syntax. The correct structure is: MATCH (m:MK {semester: 1}) RETURN m.nama. Wait, but the user might want all properties. However, the examples show that when the question is about listing courses, they return specific properties like nama. But the user's question is to ""tampilkan seluruh mata kuliah"", which could mean all properties. However, the error might be in the RETURN clause. The error message says invalid input '<', which might be a typo. Oh, maybe the user used a less-than symbol instead of a colon in the label. Wait, the error message says line 1, column 9. Let me reconstruct the previous query. If the user wrote something like MATCH (m:MK {semester: 1}) RETURN m.nama, that's correct. But if there was a typo, like using a less-than symbol instead of a colon, that would cause an error. So the corrected query should be MATCH (m:MK {semester: 1}) RETURN m. But the examples sometimes return specific properties. However, the user's question is to show all courses, so returning the entire node would include all properties. Alternatively, maybe the user wants just the names. But the error was a syntax error, so the main issue is probably a missing or incorrect character. Let me make sure the query is correctly formatted with proper parentheses and quotes. The correct query should be MATCH (m:MK {semester: 1}) RETURN m. But the examples sometimes return specific properties. Wait, the user's question is to ""tampilkan seluruh mata kuliah"", which translates to show all courses. In Neo4j, returning the node would include all properties. However, the examples show that when the question is about listing courses, they return specific properties like nama. But the user might want all properties. But the error",False,3,False,1.617590286657509e-155,0.034,0.5136894332972765,0.0472972972972973,False,0.0,2.7384471664863828,Fakta Eksplisit,Nodes,Easy,syntax_error
5,Tampilkan nama dan kode untuk semua mata kuliah yang memiliki tipe 'Pilihan'.,"MATCH (n:MK) WHERE n.tipe = 'Pilihan' RETURN n.nama, n.kode","MATCH (m:MK {tipe: ""Pilihan""}) RETURN m.nama, m.kode",True,1,True,3.6931552050118157e-78,0.6364,0.8707142857142858,0.5,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
6,Apa sajakah klasifikasi unik yang ada untuk semua mata kuliah?,MATCH (n:MK) RETURN DISTINCT n.klasifikasi,MATCH (m:MK) RETURN DISTINCT m.klasifikasi,True,1,True,0.4497332084013506,0.7143,0.9833333333333334,0.7142857142857143,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
7,Berapakah jumlah total mata kuliah yang bertipe 'Wajib'?,MATCH (n:MK) WHERE n.tipe = 'Wajib' RETURN COUNT(n),"MATCH (m:MK {tipe: ""Wajib""}) RETURN COUNT(m)",True,1,True,3.7898575049867687e-78,0.6667,0.8754215918045706,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
8,"Tampilkan semua mata kuliah, diurutkan berdasarkan semester dari awal hingga akhir.","MATCH (n:MK) RETURN n.nama, n.semester ORDER BY n.semester",MATCH (m:MK) RETURN m.nama ORDER BY m.semester ASC,True,1,True,0.20645549554425374,0.6087,0.883551620416207,0.7,False,0.5,57.46125810208103,Fakta Eksplisit,Nodes,Medium,
9,Sebutkan 5 mata kuliah yang diurutkan berdasarkan namanya.,MATCH (n:MK) RETURN n.nama ORDER BY n.nama LIMIT 5,MATCH (m:MK) RETURN m.nama ORDER BY m.nama LIMIT 5,True,1,True,0.4583034067124109,0.75,0.9684012539184953,0.8,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
10,Berapakah rata-rata jumlah SKS pada tiap semester.,"MATCH (n:MK) RETURN n.semester, AVG(n.sks) ORDER BY n.semester","MATCH (m:MK) RETURN m.semester AS Semester, avg(m.sks) AS RataRataSKS ORDER BY m.semester",True,2,False,0.1891211337754998,0.6,0.8515017316754669,0.6153846153846154,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,syntax_error
11,Berapakah SKS minimum dan maksimum untuk mata kuliah dengan klasifikasi 'Sains Dasar'?,"MATCH (n:MK) WHERE n.klasifikasi = 'Sains Dasar' RETURN MIN(n.sks), MAX(n.sks)","MATCH (m:MK {klasifikasi: ""Sains Dasar""}) RETURN MIN(m.sks) AS SKSMin, MAX(m.sks) AS SKSMax",True,1,True,5.064072457112733e-78,0.625,0.8523316249061917,0.3888888888888889,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
12,Apa saja 'jalur' peminatan mata kuliah yang terdapat pada kurikulum?,MATCH (n:MK) WHERE n.jalur IS NOT NULL RETURN DISTINCT n.jalur,MATCH (m:MK) RETURN DISTINCT m.jalur ORDER BY m.jalur,True,1,True,4.0350643225079534e-78,0.4167,0.8757793390580276,0.38461538461538464,False,0.8,62.46239669529014,Fakta Eksplisit,Nodes,Medium,
13,Tolong daftarkan mata kuliah di tiap semester dan diurutkan per semester.,"MATCH (n:MK) WITH n.semester AS semester, COLLECT(n.nama) AS daftarMataKuliah RETURN semester, daftarMataKuliah ORDER BY semester","MATCH (m:MK) RETURN m.semester AS Semester, m.nama AS MataKuliah ORDER BY m.semester, m.nama",True,1,True,4.1526379910208533e-78,0.5405,0.8435744157097501,0.5333333333333333,False,0.006993006993006993,47.06023221840889,Fakta Eksplisit,Nodes,Hard,
14,Kelompokkan semua nama mata kuliah berdasarkan tipenya.,"MATCH (n:MK) WITH n.tipe AS tipeMK, COLLECT(n.nama) AS daftarMatkul RETURN tipeMK, daftarMatkul","MATCH (m:MK) RETURN m.tipe AS Tipe, COLLECT(m.nama) AS MataKuliah ORDER BY Tipe",True,2,False,0.2270030173974286,0.4375,0.8393526551421289,0.4375,True,1.0,100.0,Fakta Eksplisit,Nodes,Hard,syntax_error
15,"Untuk mata kuliah 'Aljabar Linear' dan 'Statistika', kumpulkan semua deskripsi topik dari kedua mata kuliah tersebut.","UNWIND ['Aljabar Linear', 'Statistika'] AS namaMK MATCH (t:topic {MK: namaMK}) RETURN namaMK, COLLECT(t.deskripsi) AS daftarTopik","<think> Okay, let's tackle this problem. The user wants to collect all topic descriptions for both ""Aljabar Linear"" and ""Statistika"". The previous query used a UNION but had a syntax error because the column names in each part of the UNION were different. The error message said that all subqueries in a UNION must have the same return column names. So, the first thing I need to do is make sure that both parts of the UNION return the same column name. In the original query, they had ""TopikAljabarLinear"" and ""TopikStatistika"", which are different. To fix this, I should change both RETURN clauses to use the same column name, like ""Topik"". Wait, but if I do that, the UNION will combine the two lists into one column. However, the user might want the topics separated by the course. Hmm, maybe the user actually wants two separate lists. But the error is about the column names needing to match. So, using the same column name in both parts of the UNION is necessary to avoid the syntax error. Alternatively, maybe there's a better way to structure the query without using UNION. For example, using a single MATCH with a WHERE clause that includes both courses and then grouping by the course name. Let me think. If I do something like: MATCH (t:topic) WHERE t.MK IN [""Aljabar Linear"", ""Statistika""] RETURN t.MK AS MataKuliah, COLLECT(t.deskripsi) AS Topik GROUP BY t.MK That would group the topics by each course and return them as separate entries. This way, each course's topics are collected into their own list, and there's no need for a UNION. This approach might be more efficient and avoid the syntax error altogether. But the user's original query used two separate MATCH statements with UNION. The error was due to different column names. So, changing the column names to be the same in both parts would fix the syntax error. Let me check the original query again. Original query had: RETURN COLLECT(t.deskripsi) AS TopikAljabarLinear UNION RETURN COLLECT(t.deskripsi) AS TopikStatistika Changing both to ""Topik"" would make the UNION valid. So the corrected query would be: MATCH (t:topic {MK: ""Aljabar Linear""}) RETURN COLLECT(t.deskripsi) AS Topik UNION MATCH (t",False,3,False,0.03297514354546975,0.065,0.493399791978121,0.04938271604938271,False,0.0,2.791998959890605,Fakta Eksplisit,Nodes,Hard,syntax_error
16,"Hitung jumlah total mata kuliah, dan berikan juga jumlah mata kuliah yang memiliki klasifikasi 'Sains Dasar'.","MATCH (n:MK) WITH n, CASE WHEN n.klasifikasi = 'Sains Dasar' THEN 1 ELSE 0 END AS isSainsDasar RETURN count(n) AS total, sum(isSainsDasar) AS totalSainsDasar","MATCH (m:MK) RETURN COUNT(m) AS Total, COUNT(CASE WHEN m.klasifikasi = 'Sains Dasar' THEN m END) AS SainsDasar",True,3,False,0.2087634822289166,0.4255,0.8238258797950712,0.52,True,1.0,100.0,Fakta Eksplisit,Nodes,Hard,syntax_error
17,Sebutkan topik dan deskripsinya yang dibahas dalam mata kuliah 'Aljabar Linear',"MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN t.nama, t.deskripsi","MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: ""Aljabar Linear""}) RETURN t.nama, t.deskripsi",True,2,False,0.8787142254774354,1.0,0.9928571428571429,0.6923076923076923,True,1.0,100.0,Fakta Implisit,One-hop,Easy,syntax_error
18,Apakah Capaian Pembelajaran (LO) yang diharapkan dari mata kuliah 'Pemrograman Dasar'?,MATCH (l:LO)-[:PURSUED_IN]->(m:MK {nama: 'Pemrograman Dasar'}) RETURN l.deskripsi,"MATCH (l:LO)-[:PURSUED_IN]->(m:MK {nama: ""Pemrograman Dasar""}) RETURN l.nama, l.deskripsi",True,1,True,0.7324536822795665,0.9286,0.9728253182461103,0.6923076923076923,False,0.5,59.50712659123055,Fakta Implisit,One-hop,Easy,
19,Apakah Tujuan Pembelajaran (LG) dari mata kuliah 'Aljabar Linear'?,MATCH (l:LG)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN l.deskripsi,"MATCH (lg:LG)-[:PURSUED_IN]->(m:MK {nama: ""Aljabar Linear""}) RETURN lg.nama, lg.deskripsi",True,1,True,0.5795878432337984,0.7857,0.9673469387755101,0.5714285714285714,False,0.5,58.76523469387755,Fakta Implisit,One-hop,Easy,
20,Mata kuliah apa yang mencakup topik dengan deskripsi 'Determinan'?,MATCH (t:topic {deskripsi: 'Determinan'})-[:PURSUED_IN]->(m:MK) RETURN m.nama,"MATCH (t:topic {deskripsi: ""Determinan""})-[:PURSUED_IN]->(m:MK) RETURN m.nama",True,1,True,0.8942255541978509,1.0,0.9917525773195877,0.8181818181818182,True,1.0,100.0,Fakta Implisit,One-hop,Easy,
21,Mata kuliah apa yang menjadi prasyarat untuk mengambil 'Kecerdasan Buatan'?,MATCH (p:MK)-[:PREREQUISITE]->(t:MK {nama: 'Kecerdasan Buatan'}) RETURN p.nama,"MATCH (m:MK)-[:PREREQUISITE]->(t:MK {nama: ""Kecerdasan Buatan""}) RETURN m.nama",True,1,True,0.670666975196852,0.8333,0.8943117672600955,0.5,True,1.0,100.0,Fakta Implisit,One-hop,Easy,
22,Mata kuliah apa yang dapat diparalelkan dengan 'Fisika Mekanika Klasik'?,MATCH (m1:MK {nama: 'Fisika Mekanika Klasik'})-[:CAN_PARALLELIZED]->(m2:MK) RETURN m2.nama,"<think> Okay, let's see. The user is asking which courses can be taken in parallel with 'Fisika Mekanika Klasik'. The previous query had a syntax error. The error message mentioned an invalid input '<' at line 1, column 9. Hmm, maybe there's a typo or a missing character. Looking at the previous query, maybe the user tried to use a relationship direction incorrectly. The correct relationship is CAN_PARALLELIZED. The example for ""Persamaan Differensial"" used MATCH (m:MK)-[:CAN_PARALLELIZED]->(t:MK {nama: ""Persamaan Differensial""}) RETURN COUNT(m). So for this case, we need to find all MK nodes that have a CAN_PARALLELIZED relationship pointing to the target course. Wait, but the error was about an invalid '<' character. Oh, maybe the user used a less-than symbol instead of a hyphen in the relationship. Like, maybe they wrote something like (m:MK)<-[:CAN_PARALLELIZED]... which would cause a syntax error because of the '<' instead of '-'. Or perhaps there was a missing hyphen in the relationship arrow. So the correct syntax should be using the hyphen and greater-than for the relationship direction. Let me reconstruct the query. The correct query should be: MATCH (m:MK)-[:CAN_PARALLELIZED]->(t:MK {nama: ""Fisika Mekanika Klasik""}) RETURN m.nama But wait, maybe the relationship is bidirectional. However, according to the schema, the CAN_PARALLELIZED is a directed relationship. So to find all courses that can be parallelized with the target, we need to check both directions. But the example only used one direction. Let me check the example again. The example for ""Persamaan Differensial"" used the direction from m to t, meaning m can be parallelized with t. So for this query, to find courses that can be parallelized with 'Fisika Mekanika Klasik', we need to find all m where there's a CAN_PARALLELIZED from m to the target course. Alternatively, maybe the target course has a CAN_PARALLELIZED relationship to other courses, which would mean those courses can be parallelized with the target. But the example suggests that the direction is from the parallelizable course to the target. So the correct approach is to match (m:MK)-[:CAN",False,3,False,0.030629482593648602,0.0483,0.5313963797671416,0.058394160583941604,False,0.0,2.8984818988357084,Fakta Implisit,One-hop,Easy,syntax_error
23,Berapakah jumlah topik yang ada pada mata kuliah 'Aljabar Linear'?,MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN count(t),"MATCH (t:topic {MK: ""Aljabar Linear""}) RETURN COUNT(t)",True,1,True,0.1959265898070874,0.8182,0.8512605897686543,0.46153846153846156,True,1.0,100.0,Fakta Implisit,One-hop,Medium,
24,Sebutkan kode Capaian Lulusan (SO) unik yang dikejar (pursued) pada mata kuliah semester 1.,MATCH (s:SO)-[:PURSUED_IN]->(m:MK) WHERE m.semester = 1 RETURN DISTINCT s.kode,MATCH (s:SO)-[:PURSUED_IN]->(m:MK {semester: 1}) RETURN DISTINCT s.kode,True,1,True,0.6985044614076471,0.9286,0.9384862560120293,0.8461538461538461,True,1.0,100.0,Fakta Implisit,One-hop,Medium,
25,"Tampilkan mata kuliah beserta jumlah topiknya, diurutkan secara menurun berdasarkan jumlah topik.","MATCH (t:topic)-[:PURSUED_IN]->(m:MK) RETURN m.nama, count(t) AS jumlahTopik ORDER BY jumlahTopik DESC","MATCH (t:topic)-[:PURSUED_IN]->(m:MK) RETURN m.nama AS MataKuliah, COUNT(t) AS JumlahTopik ORDER BY JumlahTopik DESC",True,1,True,0.7067558330951772,0.9474,0.9320679891965113,0.8125,True,1.0,100.0,Fakta Implisit,One-hop,Medium,
26,Identifikasi 3 mata kuliah teratas yang memiliki jumlah topik terbanyak.,"MATCH (t:topic)-[:PURSUED_IN]->(m:MK) RETURN m.nama, count(t) AS jumlahTopik ORDER BY jumlahTopik DESC LIMIT 3","MATCH (t:topic)-[:PURSUED_IN]->(m:MK) WITH m.nama AS NamaMK, COUNT(t) AS JumlahTopik ORDER BY JumlahTopik DESC LIMIT 3 RETURN NamaMK, JumlahTopik",True,1,True,0.5576053976820645,0.8444,0.8971740169580952,0.7894736842105263,True,1.0,100.0,Fakta Implisit,One-hop,Medium,
27,Berapa mata kuliah prasyarat untuk mengambil mata kuliah Proyek Senior Teknologi Informasi?,MATCH (p:MK)-[:PREREQUISITE]->(t:MK {nama: 'Proyek Senior Teknologi Informasi'}) RETURN COUNT(p),,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499991, Requested 1516. Please try again in 4m20.4096s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
28,Mata kuliah manakah yang paling banyak menjadi prasyarat bagi mata kuliah lainnya?,"MATCH (p:MK)-[:PREREQUISITE]->(t:MK) RETURN p.nama, count(t) AS jumlahMatkul ORDER BY jumlahMatkul DESC LIMIT 1",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499990, Requested 1513. Please try again in 4m19.718399999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
29,Sebutkan semua topik dari 'Metode Numeris' yang termasuk dalam 'LO1' atau 'LO2'.,"MATCH (t:topic)-[:PART_OF]->(l:LO {MK: 'Metode Numeris'}) WHERE l.nama IN ['LO1', 'LO2'] RETURN l.nama, t.deskripsi",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Medium,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499989, Requested 1519. Please try again in 4m20.5824s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
30,Tolong kumpulkan semua deskripsi topik yang diajarkan di mata kuliah 'Aljabar Linear'.,"MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) WITH m, COLLECT(t.deskripsi) AS daftarTopik RETURN m.nama, daftarTopik",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Hard,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499989, Requested 1517. Please try again in 4m20.2368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
31,Tolong verifikasi: Apakah topik 'Determinan' merupakan bagian dari 'LO1' pada 'Aljabar Linear'?,"MATCH (t:topic {deskripsi: 'Determinan'})-[:PART_OF]->(l:LO {nama: 'LO1', MK: 'Aljabar Linear'}) RETURN CASE WHEN l IS NOT NULL THEN 'Ya' ELSE 'Tidak' END AS Jawaban",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Hard,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499987, Requested 1521. Please try again in 4m20.5824s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
32,"Untuk mata kuliah 'Kalkulus Variabel Tunggal' dan 'Matematika Diskrit', apa saja topik materi yang diajarkan?","UNWIND ['Kalkulus Variabel Tunggal', 'Matematika Diskrit'] AS namaMK MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: namaMK}) RETURN namaMK, t.deskripsi",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Hard,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499987, Requested 1526. Please try again in 4m21.446399999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
33,"Untuk setiap Tujuan Pembelajaran (LG) yang ada, sebutkan semua Capaian Lulusan (SO) yang menjadi bagiannya.","MATCH (s:SO)-[:PART_OF]->(l:LG) WITH l.nama AS namaLG, COLLECT(s.kode) AS daftarSO RETURN namaLG, daftarSO",,False,0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,Fakta Implisit,One-hop,Hard,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3-32b` in organization `org_01k7ppxg3ve319gr53jb8nwhj2` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499986, Requested 1525. Please try again in 4m21.1008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
